PvEstimate,PvEstimate10,PvEstimate90,PeriodEnd,Period
0,0,0,2024-11-05T16:30:00Z,PT30M
0,0,0,2024-11-05T17:00:00Z,PT30M
0,0,0,2024-11-05T17:30:00Z,PT30M
0,0,0,2024-11-05T18:00:00Z,PT30M
0,0,0,2024-11-05T18:30:00Z,PT30M
0,0,0,2024-11-05T19:00:00Z,PT30M
0,0,0,2024-11-05T19:30:00Z,PT30M
0,0,0,2024-11-05T20:00:00Z,PT30M
0,0,0,2024-11-05T20:30:00Z,PT30M
0,0,0,2024-11-05T21:00:00Z,PT30M
0,0,0,2024-11-05T21:30:00Z,PT30M
0,0,0,2024-11-05T22:00:00Z,PT30M
0,0,0,2024-11-05T22:30:00Z,PT30M
0,0,0,2024-11-05T23:00:00Z,PT30M
0,0,0,2024-11-05T23:30:00Z,PT30M
0,0,0,2024-11-06T00:00:00Z,PT30M
0,0,0,2024-11-06T00:30:00Z,PT30M
0,0,0,2024-11-06T01:00:00Z,PT30M
0,0,0,2024-11-06T01:30:00Z,PT30M
0,0,0,2024-11-06T02:00:00Z,PT30M
0,0,0,2024-11-06T02:30:00Z,PT30M
0,0,0,2024-11-06T03:00:00Z,PT30M
0,0,0,2024-11-06T03:30:00Z,PT30M
0,0,0,2024-11-06T04:00:00Z,PT30M
0,0,0,2024-11-06T04:30:00Z,PT30M
0,0,0,2024-11-06T05:00:00Z,PT30M
0,0,0,2024-11-06T05:30:00Z,PT30M
0,0,0,2024-11-06T06:00:00Z,PT30M
0,0,0,2024-11-06T06:30:00Z,PT30M
0.0119,0.004,0.0199,2024-11-06T07:00:00Z,PT30M
0.0516,0.0199,0.0993,2024-11-06T07:30:00Z,PT30M
0.106,0.0471,0.1963,2024-11-06T08:00:00Z,PT30M
0.1767,0.0824,0.3872,2024-11-06T08:30:00Z,PT30M
0.2598,0.106,0.5349,2024-11-06T09:00:00Z,PT30M
0.3165,0.1138,0.6468,2024-11-06T09:30:00Z,PT30M
0.359,0.1178,0.7373,2024-11-06T10:00:00Z,PT30M
0.4123,0.1319,0.8159,2024-11-06T10:30:00Z,PT30M
0.4824,0.1591,0.8984,2024-11-06T11:00:00Z,PT30M
0.4754,0.1591,0.8847,2024-11-06T11:30:00Z,PT30M
0.3883,0.1228,0.77,2024-11-06T12:00:00Z,PT30M
0.3182,0.0959,0.6597,2024-11-06T12:30:00Z,PT30M
0.2478,0.0767,0.5626,2024-11-06T13:00:00Z,PT30M
0.1841,0.0614,0.4512,2024-11-06T13:30:00Z,PT30M
0.1436,0.0504,0.3279,2024-11-06T14:00:00Z,PT30M
0.1009,0.0388,0.2078,2024-11-06T14:30:00Z,PT30M
0.0698,0.0272,0.1397,2024-11-06T15:00:00Z,PT30M
0.0349,0.0116,0.066,2024-11-06T15:30:00Z,PT30M
0.0039,0,0.0078,2024-11-06T16:00:00Z,PT30M
0,0,0,2024-11-06T16:30:00Z,PT30M
0,0,0,2024-11-06T17:00:00Z,PT30M
0,0,0,2024-11-06T17:30:00Z,PT30M
0,0,0,2024-11-06T18:00:00Z,PT30M
0,0,0,2024-11-06T18:30:00Z,PT30M
0,0,0,2024-11-06T19:00:00Z,PT30M
0,0,0,2024-11-06T19:30:00Z,PT30M
0,0,0,2024-11-06T20:00:00Z,PT30M
0,0,0,2024-11-06T20:30:00Z,PT30M
0,0,0,2024-11-06T21:00:00Z,PT30M
0,0,0,2024-11-06T21:30:00Z,PT30M
0,0,0,2024-11-06T22:00:00Z,PT30M
0,0,0,2024-11-06T22:30:00Z,PT30M
0,0,0,2024-11-06T23:00:00Z,PT30M
0,0,0,2024-11-06T23:30:00Z,PT30M
