PvEstimate,PvEstimate10,PvEstimate90,PeriodEnd,Period
0,0,0,2024-12-07T20:30:00Z,PT30M
0,0,0,2024-12-07T21:00:00Z,PT30M
0,0,0,2024-12-07T21:30:00Z,PT30M
0,0,0,2024-12-07T22:00:00Z,PT30M
0,0,0,2024-12-07T22:30:00Z,PT30M
0,0,0,2024-12-07T23:00:00Z,PT30M
0,0,0,2024-12-07T23:30:00Z,PT30M
0,0,0,2024-12-08,PT30M
0,0,0,2024-12-08T00:30:00Z,PT30M
0,0,0,2024-12-08T01:00:00Z,PT30M
0,0,0,2024-12-08T01:30:00Z,PT30M
0,0,0,2024-12-08T02:00:00Z,PT30M
0,0,0,2024-12-08T02:30:00Z,PT30M
0,0,0,2024-12-08T03:00:00Z,PT30M
0,0,0,2024-12-08T03:30:00Z,PT30M
0,0,0,2024-12-08T04:00:00Z,PT30M
0,0,0,2024-12-08T04:30:00Z,PT30M
0,0,0,2024-12-08T05:00:00Z,PT30M
0,0,0,2024-12-08T05:30:00Z,PT30M
0,0,0,2024-12-08T06:00:00Z,PT30M
0,0,0,2024-12-08T06:30:00Z,PT30M
0,0,0,2024-12-08T07:00:00Z,PT30M
0.0081,0.0041,0.0295,2024-12-08T07:30:00Z,PT30M
0.0854,0.0244,0.3643,2024-12-08T08:00:00Z,PT30M
0.1871,0.0569,0.8273,2024-12-08T08:30:00Z,PT30M
0.3751,0.1098,1.232,2024-12-08T09:00:00Z,PT30M
0.6027,0.1688,1.5588,2024-12-08T09:30:00Z,PT30M
0.8123,0.2435,1.851,2024-12-08T10:00:00Z,PT30M
0.9789,0.3079,2.0472,2024-12-08T10:30:00Z,PT30M
1.119,0.3649,2.1826,2024-12-08T11:00:00Z,PT30M
1.1535,0.3832,2.2204,2024-12-08T11:30:00Z,PT30M
1.097,0.3619,2.1664,2024-12-08T12:00:00Z,PT30M
0.9923,0.3335,2.0409,2024-12-08T12:30:00Z,PT30M
0.8631,0.2837,1.8443,2024-12-08T13:00:00Z,PT30M
0.6837,0.1986,1.563,2024-12-08T13:30:00Z,PT30M
0.4845,0.1509,1.2123,2024-12-08T14:00:00Z,PT30M
0.2481,0.0914,0.7934,2024-12-08T14:30:00Z,PT30M
0.1085,0.0402,0.3637,2024-12-08T15:00:00Z,PT30M
0.0161,0.008,0.0411,2024-12-08T15:30:00Z,PT30M
0,0,0,2024-12-08T16:00:00Z,PT30M
0,0,0,2024-12-08T16:30:00Z,PT30M
0,0,0,2024-12-08T17:00:00Z,PT30M
0,0,0,2024-12-08T17:30:00Z,PT30M
